id,experience_age_pedagogic,category_qual_cat,class_manager,main_position_cat,main_position,sex,experience_age_other,min_parallel,max_parallel,year,n_unique_subjects,n_unique_parallel,is_critical,studied_in_moscow_any,has_higher_edu,has_prestigious_university,attrition_rate_2022,load_vs_district,school_known,school_size_deviation,buildings_num_filled,pkpp_prog_types_2023,pkpp_total_courses,pkpp_unique_types,is_out_next_year
bc89ce32c6,3,не_найдено,1,учитель,Учитель,0,3,5,6,2023,1.0986122886681098,2,False,0.0,1.0,1.0,0.09848484848484848,-0.01321938988473218,1,0.34636570718575266,7.0,1.0,3.0,1.0,0
bc89ce32c6,4,не_найдено,1,учитель,Учитель,0,3,6,7,2024,0.6931471805599453,2,False,0.0,1.0,1.0,0.09848484848484848,-0.01321938988473218,1,0.34636570718575266,7.0,1.0,3.0,1.0,1
bc8a3011b2,30,высшая,1,учитель,Учитель,0,4,2,2,2022,2.0794415416798357,1,False,1.0,1.0,0.0,0.13095238095238096,0.04236876268691092,1,-0.09454385265675155,5.0,1.0,2.0,1.0,0
bc8a3011b2,31,высшая,1,учитель,Учитель,0,4,3,3,2023,2.0794415416798357,1,False,1.0,1.0,0.0,0.13095238095238096,0.04236876268691092,1,-0.09454385265675155,5.0,1.0,2.0,1.0,0
bc8a3011b2,32,высшая,1,учитель,Учитель,0,4,4,4,2024,2.0794415416798357,1,False,1.0,1.0,0.0,0.13095238095238096,0.04236876268691092,1,-0.09454385265675155,5.0,1.0,2.0,1.0,1
bc8cc226ea,11,первая,1,учитель,Учитель,0,6,2,11,2022,0.6931471805599453,7,False,0.0,1.0,0.0,0.09230769230769231,0.15417747715692143,1,-0.3860365391099123,2.0,1.0,3.0,1.0,0
bc8cc226ea,12,первая,1,учитель,Учитель,0,6,1,11,2023,1.0986122886681098,8,False,0.0,1.0,0.0,0.09230769230769231,0.15417747715692143,1,-0.3860365391099123,2.0,1.0,3.0,1.0,0
bc8cc226ea,13,первая,1,учитель,Учитель,0,6,1,10,2024,0.6931471805599453,10,False,0.0,1.0,0.0,0.09230769230769231,0.15417747715692143,1,-0.3860365391099123,2.0,1.0,3.0,1.0,1
bc8e5cdb90,10,высшая,1,учитель,Учитель,1,1,6,11,2022,1.0986122886681098,6,False,1.0,1.0,0.0,0.08496732026143791,-0.12316902977289018,1,0.31235025972649205,9.0,0.0,0.0,0.0,1
bc972adc33,9,первая,1,учитель,Учитель,1,6,5,11,2024,1.9459101490553132,6,False,0.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,0.0,0.0,0.0,1
bc9865e0b0,27,высшая,1,учитель,Учитель,0,0,4,4,2022,2.0794415416798357,1,False,0.0,1.0,0.0,0.07692307692307693,-0.16635845418028217,1,0.11506884813362071,14.0,0.0,1.0,1.0,1
